iter	R2	RMSE
90	0.9019129402	1.075421502
91	0.9024222083	1.072626074
92	0.902922478	1.069872927
93	0.9033700703	1.067403663
94	0.9038421118	1.064793314
95	0.9042734321	1.062402542
96	0.9047113577	1.059969641
97	0.9051340847	1.057615867
98	0.9055598979	1.055239601
99	0.9060014232	1.052769989
100	0.9064260731	1.050389289
101	0.9068001169	1.048287823
102	0.9071874353	1.046107327
103	0.9075415186	1.044109951
104	0.907905351	1.042053593
105	0.9082194646	1.040274973
106	0.9085077794	1.038639754
107	0.9088514417	1.036687254
108	0.9091831557	1.034799143
109	0.9094973465	1.033007592
110	0.9097790986	1.031398363
111	0.9100612792	1.029784167
112	0.9103751548	1.027985683
113	0.9106419751	1.026454345
114	0.9108911831	1.025022021
115	0.9111363402	1.023611025
116	0.9113660535	1.022287147
117	0.9116575112	1.020604954
118	0.9118949644	1.019232404
119	0.9121212972	1.01792241
120	0.9123263598	1.016734069
121	0.9125703694	1.015318218
122	0.9128073538	1.013941237
123	0.9130094352	1.012765579
124	0.9132339285	1.011457931
125	0.913465682	1.010106218
126	0.9136366477	1.009107892
127	0.9138692385	1.007748129
128	0.9140819738	1.006502835
129	0.9142329412	1.005618178
130	0.9144211471	1.004514217
131	0.9146185047	1.003355268
132	0.9147868303	1.002365746
133	0.9149697687	1.001289212
134	0.9151613618	1.000160506
135	0.9153228806	0.9992079823
136	0.9154953607	0.9981898128
137	0.9155625905	0.9977926658
138	0.9157401488	0.9967430149
139	0.9158699214	0.9959751538
140	0.9160586626	0.9948573185
141	0.9161997873	0.9940206747
142	0.9163197577	0.9933088882
143	0.9164593812	0.9924798565
144	0.9165958414	0.9916689376
145	0.9167714183	0.9906245893
146	0.9169100293	0.9897993401
147	0.9170458717	0.9889899057
148	0.9172066775	0.988030867
149	0.917359909	0.9871161339
150	0.9174909578	0.9863331505
151	0.9176053519	0.985649166
152	0.9177400193	0.9848433545
153	0.9178803377	0.984003027
154	0.9180171483	0.9831830154
155	0.9181328268	0.9824891308
156	0.9182873793	0.9815612989
157	0.9184046608	0.9808566324
158	0.9185173812	0.9801788933
159	0.9186156597	0.9795876038
160	0.918772451	0.978643535
161	0.9188907631	0.9779305527
162	0.9190494417	0.9769734939
163	0.9191553926	0.9763339363
164	0.9192478475	0.9757755031
165	0.919332156	0.9752659955
166	0.9194330961	0.9746556267
167	0.9195625795	0.9738721011
168	0.9196793231	0.9731651248
169	0.9197767732	0.9725745934
170	0.9198689248	0.9720158398
171	0.9199629268	0.9714455348
172	0.9200537985	0.9708939031
173	0.9201390057	0.9703763728
174	0.9202257623	0.9698491474
175	0.9203419451	0.9691426487
176	0.9204410166	0.9685397953
177	0.9205191965	0.9680638026
178	0.9206351432	0.9673574382
179	0.9207628604	0.9665787692
180	0.9208562746	0.9660088421
181	0.9209567581	0.9653954089
182	0.9210917228	0.9645708604
183	0.9211870825	0.9639878478
184	0.9212900165	0.9633581317
185	0.9213833847	0.9627865796
186	0.9214618415	0.9623060454
187	0.9215607956	0.9616996259
188	0.9216447821	0.961184632
189	0.9217298285	0.9606628573
190	0.9217960753	0.9602562253
191	0.92186618	0.9598257257
192	0.9219506264	0.9593068993
193	0.9220202194	0.958879119
194	0.922122474	0.9582502259
195	0.9221949488	0.9578042358
196	0.9222803535	0.9572784123
197	0.9223260993	0.9569966439
198	0.9224002905	0.9565394913
199	0.9224896194	0.9559887725
200	0.9225692288	0.9554977077
201	0.9226347042	0.9550936382
202	0.9227195801	0.9545695874
203	0.922801601	0.9540628909
204	0.9229044951	0.9534268661
205	0.9229668557	0.9530411868
206	0.9230539711	0.9525021454
207	0.9231487511	0.9519153318
208	0.9232096579	0.9515380473
209	0.9232785055	0.9511113934
210	0.9233742784	0.9505175629
211	0.9234645725	0.9499573627
212	0.9235249082	0.9495828455
213	0.9235975232	0.9491319126
214	0.9236709027	0.9486760142
215	0.9237292231	0.9483135197
216	0.9237779881	0.948010311
217	0.9238534647	0.9475408253
218	0.9239189378	0.9471333753
219	0.923997842	0.9466421084
220	0.9240759612	0.9461554784
221	0.9241299839	0.9458188061
222	0.9241843493	0.945479878
223	0.9242324286	0.945180037
224	0.9243219195	0.9446216846
225	0.9243760885	0.9442835525
226	0.9244429554	0.9438659909
227	0.924526916	0.9433414236
228	0.9245775309	0.9430250515
