episode,mean_reward,total_reward,best_reward,final_reward,steps_taken,convergence_achieved,reward_improvement,state_stability
8,7.098743333484674,709.8743333484675,7.637046145005436,7.418322362788459,100,False,-0.11023738832280117,0.38477394
8,6.840860322525634,684.0860322525634,7.446837289456422,7.086868018636455,100,False,0.14792950052266995,0.37547523
8,6.830382143732705,683.0382143732705,7.761262321808355,6.713081341765877,100,False,0.4369379161451228,0.3866395
8,6.312394267200107,631.2394267200107,7.140638118775456,6.22429219557343,100,False,-0.1301945516006917,0.40279034
10,6.5263529075961255,652.6352907596125,7.286144344635673,6.670482068340247,100,False,0.26156046978333247,0.37530047
10,6.820875236777309,682.0875236777308,7.668515465114499,6.461332243483625,100,False,-0.7946666589094091,0.3908546
10,6.666191648614147,666.6191648614146,7.42447696247046,6.823077578091742,100,False,-0.5676174266653495,0.38711107
10,6.732128341159278,673.2128341159279,7.322674634435423,6.616002150300432,100,False,-0.47231991501698456,0.37005615
12,6.6082239057843335,660.8223905784334,7.335962592840001,6.684273055104112,100,False,-0.3028569018125493,0.40228137
12,6.266973216174868,626.6973216174869,7.192521769333636,6.387749691612968,100,False,-0.6266778194688944,0.38726082
12,6.880361075716369,688.0361075716371,7.692874734267945,6.425574372819619,100,False,-1.1025429222255623,0.35682046
12,6.484314999269697,648.4314999269697,6.973021253330077,6.752375098625512,100,False,0.24601996710391383,0.36154303
14,6.6756253995473545,667.5625399547354,7.330106070345296,7.189346291397064,100,False,1.0389400422644623,0.378253
14,6.947487739906737,694.7487739906737,7.771290714216567,7.130878056251949,100,False,0.4852633258927419,0.38348788
14,6.644561918466202,664.4561918466203,7.40442304639397,7.298691819654245,100,False,1.2156200954503502,0.3908343
14,7.022505929469784,702.2505929469785,7.712698940851048,6.512687233763291,100,False,-1.0912461583925648,0.3793115
16,6.770030546101382,677.0030546101383,7.6817463346237735,6.583030766130986,100,False,-0.008630061773772013,0.39521226
16,6.346787417207546,634.6787417207547,7.155446210674453,6.798508908272909,100,False,0.6351999862004414,0.38860127
16,6.363548526112407,636.3548526112406,7.048697129167426,6.998552565836559,100,False,-0.05014456333086681,0.36837503
16,6.28483428140578,628.483428140578,6.698208717500252,6.280210768592132,100,False,-0.12312087128942295,0.38327864
18,6.8554365047328885,685.5436504732888,7.387834514318295,7.09427201951017,100,False,-0.13732867679170102,0.37084725
18,6.857227871881964,685.7227871881964,7.425764585739648,6.635341722329252,100,False,-0.08890200192812348,0.38023177
18,6.5262002832822645,652.6200283282266,7.662921256565865,6.417110271942866,100,False,-0.8239156463093904,0.39869818
18,6.409565932742732,640.9565932742731,6.925326616098674,6.683251679890459,100,False,0.7590404802411559,0.37496093
20,6.711116733844007,671.1116733844008,7.585054104590298,6.40028325773426,100,False,-0.6998245937327647,0.37408376
20,6.504890536731572,650.4890536731571,7.224644896170923,6.4684741373177514,100,False,0.026080346879995275,0.38824004
20,6.370042557254192,637.0042557254192,6.818202784219086,6.447106695907357,100,False,0.32178659857000813,0.38962373
20,6.1662033326177035,616.6203332617703,6.88532711381074,5.8393860985527795,100,False,-0.3173487218535396,0.36726984
22,6.3363538918184785,633.6353891818477,7.129389182903126,6.458468560651767,100,False,0.27885628161125275,0.39968893
22,6.4189542033181874,641.8954203318187,7.458642874187098,5.917984222358359,100,False,-0.6872683105342245,0.41473946
22,6.57796329925202,657.796329925202,7.29738293653634,6.742696099106715,100,False,-0.015881080070364817,0.39481553
22,6.332583448849343,633.2583448849343,7.507979462663352,6.285958342793746,100,False,-0.6679377247315443,0.37628612
