episode,length,max_reward_10,mean_length_10,mean_reward_10,reward
2,2048,1964.9943267787698,2048.0,1964.9943267787698,1964.9943267787698
2,2048,1980.844581656379,2048.0,1972.9194542175744,1980.844581656379
2,2048,1980.045708097144,2048.0,1975.294872177431,1980.045708097144
2,2048,1979.64499413741,2048.0,1976.3824026674256,1979.64499413741
3,2048,1977.6348117230773,2048.0,1976.632884478556,1977.6348117230773
3,2048,1982.2589971531554,2048.0,1977.5705699243226,1982.2589971531554
3,2048,1089.457318980617,2048.0,1850.6972483609359,1089.457318980617
3,2048,1773.8732780195232,2048.0,1841.0942520682595,1773.8732780195232
