time,sclerostin_bone,sclerostin_sensor,rankl_bone,opg_bone,ctx_bone,ctx_sensor,p1np_bone,p1np_sensor,osteocytes,osteoblasts,osteoclasts,biosensor_signal,detection_event
0.0,0.03407877398300848,0.8521976858428649,0.8095088941478951,5.871132287060905,0.014329861018598181,0.3580823648007507,0.012995291630749285,0.3248278957331315,3.995051541654682,1.9871233607921917,0.3234417936329914,2.147583132982466,0
10.0,0.03407694869257352,0.8521520243711684,0.8095201589543675,5.871120201971579,0.014331174351355957,0.3581151971090058,0.012995726585697876,0.3248387738983036,3.9949477239779814,1.9870918015581274,0.3234486151055243,2.1476136635195475,0
20.0,0.03407512361013473,0.8521063680996982,0.8095314229396613,5.871108115439933,0.014332487676553735,0.3581480295417448,0.012996161514569546,0.32484965131632737,3.99484409875493,1.9870616181332874,0.323454997034648,2.1476441903781818,0
30.0,0.03407329870870172,0.8520607163468364,0.8095426862259664,5.87109602772318,0.014333800994255746,0.3581808620420077,0.012996596421122938,0.32486052809804045,3.9947406492714985,1.98703258285374,0.3234610251123368,2.147674713664788,0
40.0,0.03407147404361045,0.852015070481117,0.8095539486290997,5.871083938591269,0.014335114300439699,0.3582136945534016,0.01299703129924261,0.3248714040751259,3.9946374448463438,1.9870049539670898,0.3234666452574744,2.1477052332114366,0
50.0,0.034069649588346164,0.8519694298462479,0.809565210239613,5.87107184816531,0.014336427596910546,0.35824652709707516,0.012997466151919315,0.3248822793303202,3.9945344535296226,1.9869786001725451,0.3234718874436867,2.147735749101395,0
60.0,0.03406782537125659,0.8519237951321207,0.8095764710103317,5.871059756550689,0.014337740879096282,0.3582793595236156,0.012997900977261443,0.3248931538202016,3.9944317367922375,1.9869534986307271,0.32347680729449396,2.147766261288079,0
70.0,0.03406600138077932,0.8518781660573438,0.8095877309604973,5.871047663704418,0.014339054148861727,0.358312191893965,0.01299833577604054,0.32490402756248093,3.994329269561582,1.9869296586573078,0.3234813821223058,2.1477967697913862,0
80.0,0.03406417762905781,0.851832542911063,0.8095989901295327,5.871035569964962,0.014340367401577835,0.35834502400827645,0.012998770549127474,0.32491490059404066,3.994227110657312,1.9869068678095159,0.32348572922939833,2.1478272746525984,1
90.0,0.03406235411363537,0.851786925634783,0.8096102485094627,5.871023475263847,0.014341680638181078,0.3583778559069798,0.012999205296346064,0.3249257729074194,3.9941252481799583,1.986885169065438,0.3234898248850165,2.1478577758641615,1
100.0,0.0340605308316384,0.8517413141600808,0.8096215060909581,5.87101137952098,0.01434299385976687,0.35841068763736644,0.012999640017490226,0.32493664449388937,3.994023668210532,1.9868646126971907,0.32349364133093805,2.147888273417114,0
110.0,0.03405870778306691,0.8516957084869565,0.8096327628740189,5.870999282736362,0.01434430706633521,0.3584435191994365,0.013000074712559966,0.32494751535345046,3.9939223707490332,1.9868451987047733,0.323497178567163,2.1479187673121096,1
120.0,0.034056884974883316,0.8516501087756887,0.8096440189493982,5.870987185440534,0.014345620252668266,0.35847635034536174,0.013000509384017133,0.32495838557139595,3.993821424507438,1.986826572744611,0.32350059626522953,2.1479492576541275,1
130.0,0.034055062404017615,0.8516045149556046,0.8096552742770795,5.870975087399563,0.014346933421066774,0.35850918118441893,0.013000944030776205,0.324969255110117,3.993720799188078,1.9868088910599784,0.3235038240200119,2.147979744397845,0
140.0,0.034053240069834775,0.851558927012085,0.8096665288487853,5.870962988565056,0.014348246572006661,0.3585420117392128,0.013001378652612635,0.32498012396183384,3.9936204885236193,1.9867921859711446,0.3235068472676023,2.1480102275344133,0
150.0,0.03405141797243799,0.8515133449474845,0.8096777826666347,5.870950888948608,0.014349559705398987,0.3585748420053697,0.013001813249586124,0.32499099212855354,3.99352049381821,1.9867764496290656,0.32350966890057253,2.1480407070673575,1
160.0,0.0340495961170694,0.8514677688813934,0.8096890358382657,5.870938789139114,0.014350872816726812,0.3586076717607665,0.013002247824728627,0.32500185971221573,3.993420881304834,1.986761283409269,0.32351243582214173,2.148071183142467,1
