time,sclerostin_bone,sclerostin_sensor,rankl_bone,opg_bone,ctx_bone,ctx_sensor,p1np_bone,p1np_sensor,osteocytes,osteoblasts,osteoclasts,biosensor_signal,detection_event
0.0,0.013602424025949642,0.34000241721114516,0.577297023546124,5.474462829965982,0.0135967869296494,0.3399705654839236,0.018239727100727677,0.4560377278419919,3.99802277415898,1.9948475494917466,0.3006796257216921,2.6366918285112964,0
10.0,0.013602888736671002,0.3400140501445852,0.5772930088061997,5.474429593847415,0.013596379954875585,0.33996038784459215,0.018239370805810312,0.45602881831644726,3.99798123807942,1.994834622623652,0.30067984823944255,2.636713221677514,0
20.0,0.013603353324194652,0.3400256799870003,0.5772889941916297,5.474396358555513,0.013595973006595482,0.33995021087136873,0.018239014530143597,0.456019909239257,3.9979397898415767,1.9948223033580348,0.3006800566372681,2.63673460428284,0
30.0,0.01360381783120655,0.3400373078093791,0.577284979658981,5.474363123803852,0.013595566075629461,0.3399400343334578,0.018238658267057502,0.456011000455074,3.9978983990098564,1.9948103811702294,0.30068025580751206,2.6367559797933957,0
40.0,0.01360428224678245,0.34004893333731373,0.5772809652229094,5.474329889696053,0.013595159164339435,0.33992985828993877,0.018238302018421953,0.4560020920088477,3.997857077493997,1.9947988880781737,0.3006804454273155,2.6367773473264426,0
50.0,0.01360474652781071,0.34006055548787706,0.5772769509412541,5.4742966566410525,0.013594752282046508,0.33991968297396247,0.01823794579161644,0.45599318407796813,3.9978158722947916,1.9947879504380006,0.3006806242225426,2.6367987033980147,0
60.0,0.013605210701710868,0.3400721749498243,0.5772729367772287,5.474263424378761,0.013594345422822342,0.33990950823724203,0.018237589581947523,0.4559842765496131,3.9977747535191526,1.9947774878856408,0.3006807930035596,2.6368200502242405,0
70.0,0.013605674768482926,0.3400837917231554,0.5772689227308332,5.474230192909181,0.013593938586666937,0.3398993340797775,0.018237233389415193,0.4559753694237826,3.997733721167079,1.9947675004210945,0.3006809517703664,2.636841387805284,0
80.0,0.013606138707009248,0.34009540527458954,0.5772649088561733,5.474196962652821,0.013593531778278581,0.33988916061773095,0.018236877218819964,0.4559664628254432,3.9976928266417637,1.9947578948334355,0.300681105438437,2.6368627144654577,0
90.0,0.013606602525235514,0.340107015804778,0.5772608951328916,5.474163733451462,0.013593124995889508,0.33987898780739534,0.018236521068355608,0.45595755670757526,3.997652050602341,1.9947487061940254,0.30068125215828473,2.636884030835511,0
