time,sclerostin_bone,sclerostin_sensor,rankl_bone,opg_bone,ctx_bone,ctx_sensor,p1np_bone,p1np_sensor,osteocytes,osteoblasts,osteoclasts,biosensor_signal,detection_event
0.0,0.042229346278942544,1.0554574165645008,0.914557177458668,3.436448843364401,0.02683706146143997,0.6710029763193212,0.020406870389876215,0.5100863805270511,3.9939007397847637,1.9840976899426452,0.42775849470367305,2.5271624455980466,1
10.0,0.042231552318682676,1.0555126511686865,0.914554123916764,3.4364548938783552,0.026836450584049324,0.6709876905750541,0.02040755299933641,0.5101034549013423,3.993772402768048,1.9840568937517509,0.4277874573961041,2.5271766027260574,0
20.0,0.04223375780457377,1.0555678718848365,0.9145510700609922,3.436460942130318,0.026835839765086886,0.6709724070262122,0.020408235556308087,0.5101205277818311,3.993644270124246,1.9840177019369187,0.4278141205160069,2.5271907569739858,0
30.0,0.04223596266013316,1.055623076778714,0.9145480158706097,3.4364669879059084,0.026835229009526562,0.6709571258279103,0.02040891805475152,0.510137598998683,3.993516386514251,1.983980253205129,0.4278383995908391,2.527204908088242,1
40.0,0.04223816688482009,1.055678265828027,0.9145449613631275,3.4364730312798266,0.026834618315172802,0.6709418468720216,0.020409600495532247,0.5101546685795411,3.993388764883345,1.9839444839786218,0.42786046527429555,2.527219056050561,1
50.0,0.0422403704559838,1.0557334384535237,0.9145419065522503,3.4364790722737952,0.02683400768122961,0.6709265700913082,0.020410282877850003,0.5101717365066873,3.9932614324040743,1.9839103629980137,0.4278804696481107,2.527233200771229,1
60.0,0.04224257336201844,1.055788594348548,0.9145388514774186,3.4364851110379098,0.026833397103687012,0.6709112952711824,0.02041096520290023,0.5101888028242048,3.993134425676477,1.9838777562021457,0.4278987725741662,2.527247342181757,1
70.0,0.04224477561378164,1.0558437337956383,0.9145357961160328,3.4364911474930424,0.026832786584707734,0.6708960225329482,0.020411647470272663,0.5102058675142993,3.993007720461996,1.9838467369454706,0.42791516174026967,2.527261480337507,0
80.0,0.04224697720891436,1.0558988567249195,0.9145327405050382,3.43649718179317,0.026832176120543647,0.6708807516852738,0.020412329681620628,0.5102229306331446,3.9928813441478623,1.983817172912812,0.4279299418240337,2.527275615209698,1
90.0,0.0422491781450962,1.0559539630676604,0.9145296846807753,3.4365032140897473,0.026831565707508012,0.670865482539961,0.020413011838570378,0.510239992235994,3.9927553236727737,1.98378893395599,0.4279434125132023,2.5272897467700175,0
100.0,0.04225137842405667,1.0560090528750905,0.9145266286161576,3.436509244269886,0.026830955348348763,0.6708502152372848,0.02041369393990978,0.5102570522816643,3.9926296389577947,1.9837621170818087,0.4279553504335393,2.5273038750407784,1
110.0,0.042253578046991244,1.0560641261640442,0.9145235723678108,3.436515272576328,0.026830345037752286,0.670834949509715,0.02041437598844344,0.5102741108641282,3.9925043275987693,1.9837365161001659,0.4279661733916168,2.5273180000049607,1
120.0,0.04225577701408586,1.0561191829371404,0.9145205159445421,3.436521299046829,0.026829734774892127,0.670819685315641,0.020415057984607576,0.5102911679980021,3.9923793954432103,1.9837120989410506,0.42797594637145236,2.527332121660482,1
130.0,0.04225797532495491,1.0561742231889486,0.914517459328087,3.436527323603092,0.026829124561482186,0.6708044227413548,0.020415739927497564,0.510308223652975,3.99225483036457,1.9836889321111244,0.42798453460944663,2.527346240013731,1
140.0,0.042260172983528924,1.056229247003358,0.914514402589821,3.436533346553511,0.02682851439152712,0.6707891614861802,0.020416421820750597,0.5103252779505648,3.992130676894757,1.9836667545002786,0.4279924045121034,2.5273603550653174,1
150.0,0.04226236998862408,1.0562842543551025,0.9145113457082469,3.4365393678052025,0.026827904266832632,0.6707739016406763,0.020417103663271204,0.5103423308541721,3.992006921621414,1.9836456447510478,0.4279994156046258,2.5273744668159144,1
160.0,0.04226456634027772,1.0563392452454456,0.9145082886820948,3.436545387352738,0.026827294187556795,0.670758643212805,0.020417785454997363,0.5103593823617129,3.9918835635872107,1.9836256074806757,0.42800555545446967,2.5273885752675054,1
170.0,0.04226676204355217,1.0563942197884881,0.9145052315780252,3.4365514054848942,0.026826684148766867,0.6707433859556329,0.020418467199360895,0.5103764325876913,3.991760642242098,1.9836063984587986,0.42801120603744996,2.527402680437806,1
180.0,0.04226895709592921,1.0564491779274714,0.9145021743628783,3.436557422058021,0.02682607415291661,0.6707281299919949,0.020419148894654668,0.5103934814751481,3.9916381379619903,1.9835881391760062,0.4280161773425209,2.5274167823189706,1
190.0,0.042271151498851044,1.0565041196957279,0.9144991170520381,3.436563437138832,0.02682546419901223,0.6707128752722041,0.020419830541674115,0.5104105290505989,3.9915160593563757,1.9835707732373349,0.42802054612815044,2.5274308809190993,1
200.0,0.04227334525639672,1.0565590451875346,0.9144960596890167,3.436569450916017,0.02682485428424294,0.6706976216557256,0.020420512142669028,0.51042757538904,3.9913944307761913,1.9835541411361979,0.4280245294967274,2.5274449762599063,0
210.0,0.04227553836622044,1.0566139543486743,0.9144930022487909,3.436575463281063,0.026824244410225188,0.6706823692233789,0.020421193696345583,0.5104446204473421,3.9912732382175777,1.98353833460245,0.4280280025959122,2.527459068329901,0
220.0,0.042277730831017796,1.0566688472425114,0.9144899447554569,3.4365814743385186,0.026823634575607273,0.6706671179076477,0.02042187520395234,0.5104616642670998,3.9911524943195453,1.9835232652830814,0.4280310696426062,2.527473157146398,1
230.0,0.04227992265330791,1.056723723928261,0.9144868872315328,3.4365874841860866,0.026823024779126008,0.6706518676454367,0.020422556666656103,0.5104787068871848,3.9910322108935326,1.983508850610229,0.42803382802983403,2.5274872427256123,1
240.0,0.04228211383117942,1.056778584360994,0.9144838296599331,3.436593492749636,0.026822415021739827,0.6706366184846192,0.020423238083571563,0.5104957482781033,3.9909123789776855,1.9834951532317318,0.4280362038612598,2.527501325056335,0
