time,sclerostin_bone,sclerostin_sensor,rankl_bone,opg_bone,ctx_bone,ctx_sensor,p1np_bone,p1np_sensor,osteocytes,osteoblasts,osteoclasts,biosensor_signal,detection_event
0.0,0.056098324096438335,1.402956849482463,1.1384360860090839,3.997838327265915,0.02633830235694619,0.6584277426108631,0.028852711967135847,0.7213872416056912,3.99188476540988,1.9788894052335955,0.41540763941996434,8.08363702329719,1
10.0,0.05609433664201122,1.4028571088954178,1.1384262675991184,3.9978497912866326,0.02633854153667877,0.6584337081228672,0.028852156441936408,0.7213733531723885,3.9917145087308947,1.9788375782391447,0.4154332351450918,8.083203243780398,1
20.0,0.056090349548832186,1.402757377297919,1.1384164490444373,3.9978612523721226,0.02633878075204436,0.6584396757838302,0.02885160092482788,0.7213594648072356,3.9915445412193375,1.978787891056664,0.41545676554662725,8.082769495484463,1
30.0,0.05608636287033811,1.4026576560189479,1.1384066303567546,3.9978727102419387,0.02633902000271868,0.6584456456318378,0.028851045417900848,0.7213455765509138,3.9913749280061737,1.9787405349617735,0.41547815511899827,8.082335784134937,1
40.0,0.05608237660370894,1.4025579449868433,1.1383968115583598,3.997884165016718,0.026339259285081525,0.6584516174827794,0.02885048992166063,0.7213316884222201,3.991205680772612,1.9786954134952084,0.41549755759797063,8.081902109387235,1
50.0,0.05607839076743047,1.4024582446592466,1.1383869926748913,3.997895616698836,0.02633949859585159,0.6584575911909785,0.02884993443740734,0.7213178004547729,3.9910368359110917,1.9786525116065885,0.41551507756776346,8.081468473182127,1
60.0,0.05607440537357249,1.4023585553293727,1.1383771737780908,3.99790706554297,0.026339737925137177,0.6584635662727065,0.02884937896745513,0.7213039127201599,3.9908684520123803,1.9786116125537514,0.4155311031731011,8.08103487668536,1
70.0,0.0560704204124368,1.4022588767598845,1.1383673548273912,3.9979185114230793,0.02633997727848019,0.6584695429959784,0.02884882351039952,0.7212900251762723,3.9907004928128447,1.978572826243222,0.41554542185328064,8.080601318932624,1
80.0,0.05606643588696773,1.402159209020151,1.1383575358600888,3.9979299544925078,0.0263402166510061,0.6584755211191704,0.02884826806732769,0.7212761378582964,3.990532984601652,1.9785360252020612,0.4155582301660765,8.080167800177067,1
90.0,0.05606245180292429,1.4020595522458537,1.1383477169491343,3.9979413950511895,0.02634045603318041,0.6584815001696704,0.028847712640366095,0.7212622508350564,3.990365978799921,1.9785009600956018,0.41556991257479187,8.079734320911664,1
100.0,0.05605846815673553,1.401959906352862,1.1383378980492938,3.997952832913146,0.026340695430915106,0.6584874804405274,0.028847157228196193,0.7212483640638768,3.990199443523325,1.9784677855270127,0.41558023068800803,8.079300880834495,1
110.0,0.05605448495113504,1.4018602714028812,1.1383280792194779,3.9979642683332686,0.026340934837215054,0.6584934615830402,0.02884660183246019,0.7212344775989613,3.990033416865172,1.978436291134491,0.4155894697434024,8.078867480147663,1
120.0,0.05605050218798601,1.4017606474379696,1.1383182604998396,3.997975701485287,0.026341174247312457,0.6584994433595388,0.02884604645427738,0.7212205914772538,3.989867924789302,1.9784063335385265,0.41559782415478,8.078434118989684,1
130.0,0.05604651986568041,1.4016610344218285,1.138308441855725,3.9979871322192637,0.026341413665322166,0.6585054259751444,0.028845491092681752,0.7212067056668698,3.989702944887603,1.978378036482911,0.41560512613316286,8.07800079724536,1
140.0,0.05604253798723776,1.401561432421598,1.1382986233629133,3.9979985608679574,0.02634165308324829,0.6585114090304595,0.028844935749752845,0.7211928202368952,3.9895385234744416,1.9783511258563236,0.4156117030201913,8.077567515135083,0
