time,sclerostin_bone,sclerostin_sensor,rankl_bone,opg_bone,osteocytes,osteoblasts,osteoclasts,biosensor_signal,detection_event
0.0,0.2983051194188852,0.025000000000000005,0.7577953865138443,2.5440076813602412,1.0,1.0,1.0,0.0,0
10.0,0.013170122740943233,2.8770273471804075,0.058309348063691833,0.20074950265906502,1.00522345397259,1.0475258867246346,0.9048402706172309,0.26992221475842004,1
20.0,0.011601461356580252,2.893638090736908,0.026813285599291154,0.09522247290285905,1.0108916197072682,1.0937472236810803,0.818733374147452,0.26109694220338986,1
30.0,0.011596469329395453,2.894619154876426,0.02540385349171023,0.09048381846224368,1.0169812761636505,1.137719994616948,0.7408206125478486,0.2677096357532666,1
40.0,0.011600139979303627,2.895519678712517,0.025349681376706665,0.09028497308437235,1.0234683962849889,1.1795481480104553,0.6703222298583164,0.2733501577709424,1
50.0,0.011603890623890832,2.8964258556110423,0.025356714493724595,0.09029093320451785,1.030330131247447,1.2193362459382278,0.6065326553144915,0.2700855725116185,1
60.0,0.011607674078314801,2.8973385096383453,0.025366558036243606,0.09030609046288081,1.037544763789152,1.257183782280183,0.5488134613942511,0.27123476376012906,1
70.0,0.011611491044437174,2.8982579655116356,0.02537668993774791,0.09032200669166539,1.0450916529979013,1.293185398697954,0.4965869750860105,0.2717663282337116,1
80.0,0.011615342344958347,2.899184527234534,0.02538693133214069,0.09033809280303322,1.0529511817318462,1.3274311211040863,0.44933049642632533,0.2725936460691987,1
90.0,0.011619228725289013,2.9001184810461154,0.02539728533081758,0.09035436883138656,1.0611047066012353,1.360006584788303,0.4065710665066496,0.2719897349023719,1
100.0,0.011623150971253039,2.901060095164286,0.025407740753000844,0.09037080646434989,1.0695345104071843,1.3909932484880791,0.3678807367618953,0.2656120080839787,1
110.0,0.011627109762436593,2.9020096221285465,0.025418290361632855,0.09038739015493263,1.0782237568465687,1.4204685982604242,0.33287227806202213,0.26487024051624947,1
120.0,0.011631105736677697,2.902967298987121,0.025428936144413057,0.09040413483445071,1.0871564475084585,1.4485063410422279,0.3011953139978518,0.2680347769940929,1
130.0,0.011635139503956256,2.903933347950399,0.025439668045994047,0.09042101468719246,1.0963173809158218,1.4751765890064497,0.2725328117505829,0.2779765603528449,1
140.0,0.011639211624037379,2.904907977368114,0.025450484810611042,0.09043803299181354,1.1056921135637217,1.500546034933687,0.24659790690757089,0.28680270309922234,1
150.0,0.011643322620410915,2.9058913823058377,0.025461380023366877,0.09045517537907499,1.1152669229056618,1.5246781188169494,0.22313103826512617,0.2740197819635572,1
160.0,0.0116474729766389,2.9068837452632414,0.025472351160569954,0.0904724401678075,1.12502877210146,1.5476331865392334,0.20189734788260932,0.2817366664601493,1
170.0,0.01165166314207772,2.9078852367678403,0.025483394420689157,0.09048982106588996,1.1349652763529232,1.569468641405805,0.18268431013659456,0.27323438178326426,1
180.0,0.011655893532137796,2.9088960159860924,0.025494505580239676,0.09050731005345769,1.1450646711624526,1.5902390870229701,0.1652996276098866,0.277780381424111,1
190.0,0.011660164529645573,2.9099162312948947,0.02550568181447892,0.09052490349742809,1.155315782066724,1.6099964635387871,0.14956931514651245,0.27579796325717526,1
200.0,0.01166447648738703,2.9109460208145377,0.02551692010398632,0.09054259682822197,1.165707995748923,1.628790177680051,0.13533595076605015,0.2694152017514593,1
210.0,0.011668829729236446,2.9119855129275707,0.025528217114368028,0.09056038415063901,1.1762312326083568,1.6466672262308288,0.12245710072700551,0.2701368055968643,1
220.0,0.011673224551440408,2.913034826768513,0.025539570063892802,0.090578261163531,1.1868759207542403,1.6636723131019657,0.11080390487885422,0.2744327977080803,1
230.0,0.011677661224492139,2.9140940727024733,0.025550975921021585,0.09059622248457264,1.19763297026717,1.679847965195928,0.10025968258601572,0.2684061597077018,1
240.0,0.011682139993974357,2.91516335276111,0.02556243231939126,0.0906142647270316,1.208493750194327,1.6952346359693795,0.09071884357691402,0.2703603220548001,1
250.0,0.011686661081954791,2.916242761050699,0.02557393697902003,0.0906323845718777,1.2194500666983943,1.7098708038038064,0.08208590065020628,0.26257776965003493,1
260.0,0.01169122468838222,2.917332384158773,0.02558548747914892,0.09065057801781719,1.230494141280594,1.7237930700425388,0.0742744638178892,0.2824656001302504,1
270.0,0.011695830992075367,2.918432301536216,0.025597081534180183,0.09066884131592919,1.2416185904797998,1.7370362503851506,0.0672063776603412,0.27579375644446974,1
280.0,0.011700480151858015,2.9195425858656847,0.025608716936089848,0.09068717078668966,1.2528164062024596,1.7496334634430522,0.0608109084053197,0.2748823925316578,1
290.0,0.011705172307516575,2.920663303402228,0.025620391722466974,0.09070556339206234,1.2640809375782263,1.7616162124290422,0.05502404995886409,0.2671076525426618,1
300.0,0.01170990758085144,2.921794514302117,0.02563210398791793,0.09072401611259816,1.275405873376329,1.7730144643234158,0.049787882694004686,0.2801447443644103,1
