time,sclerostin_bone,sclerostin_sensor,rankl_bone,opg_bone,osteocytes,osteoblasts,osteoclasts,biosensor_signal,detection_event
0.0,0.051621080565115406,0.025000000000000005,0.4000293680803641,3.9713086821803367,1.0,1.0,1.0,4.140420116862993,1
10.0,0.002359407320015264,0.5177922353590243,0.031167110133848284,0.3093057485765342,1.0052312943271384,1.048549034001049,0.9048382074632952,4.3026454584274045,1
20.0,0.0020886098519272366,0.5207166956455166,0.0145613469977037,0.14442405121303048,1.0109103458806916,1.09491015249562,0.8187314789619782,4.314703196526081,1
30.0,0.0020879738576433135,0.5209410750946304,0.013821458697077944,0.13705476173064363,1.0170121548510176,1.1390111925525133,0.7408188834658458,4.281240630395342,1
40.0,0.0020888360855821847,0.5211518799799568,0.013796326714178525,0.1367810727803544,1.0235126149380345,1.1809613881092282,0.67032065154494,4.496675078469062,1
50.0,0.0020897136892390625,0.5213640241323512,0.013803445077821287,0.13682723825136447,1.030388811027812,1.2208656314775548,0.606531213401003,4.352204721856127,1
60.0,0.0020905989885982796,0.5215776659159261,0.01381213826577134,0.13688873420285574,1.0376189628490817,1.258823704968983,0.5488121375673279,4.616204761787948,1
70.0,0.0020914920510466434,0.5217928814749131,0.01382101422384566,0.13695175547750166,1.045182369686318,1.2949305240861362,0.496585757203787,4.174026308428965,1
80.0,0.0020923930517063763,0.5220097413609034,0.013829988861222097,0.13701548135430253,1.0530593573860938,1.3292763760093516,0.4493293600712546,4.191745497851333,1
90.0,0.002093302179760531,0.5222283116908525,0.013839057448378904,0.1370798783043949,1.061231228814477,1.3619471425815954,0.4065700209869665,4.037058997385486,1
100.0,0.0020942196019137294,0.5224486547295454,0.013848214538556019,0.1371449050239096,1.069680215258264,1.393024519047426,0.36787977551109946,4.10158938506332,1
110.0,0.002095145482648485,0.5226708288874403,0.013857456844419086,0.13721054102438845,1.0783894315626914,1.422586215976614,0.3328713980542736,4.162535098570595,1
120.0,0.0020960799684714565,0.5228948890709759,0.013866778920824639,0.13727674380264737,1.0873428329692718,1.450706153537147,0.3011945186880418,4.451880619143781,1
130.0,0.0020970232013741916,0.5231208867324538,0.01387617695646325,0.13734348651239112,1.096525173808781,1.4774546474201569,0.27253208369349685,4.173038903677864,1
140.0,0.0020979753133531643,0.5233488700977825,0.013885648705078338,0.13741075730862157,1.105921968771294,1.502898583167699,0.24659724501358615,4.230827111871705,1
150.0,0.0020989364215906322,0.5235788843809094,0.01389518962309584,0.13747852102911506,1.1155194556749553,1.5271015837559836,0.2231304685802967,4.562943993975228,1
160.0,0.0020999066370421303,0.523810971857526,0.013904795875939563,0.13754674906557388,1.1253045597251747,1.5501241704715807,0.2018968761649648,4.506244942602743,1
170.0,0.0021008860661867962,0.524045171998451,0.013914464667279995,0.13761542265610985,1.1352648597163777,1.5720239150458952,0.18268387373926853,3.9750198813559656,1
180.0,0.0021018748082959043,0.5242815216342767,0.013924193540215091,0.1376845259691805,1.1453885572616054,1.5928555781638347,0.16529919797216713,3.899177571755521,1
190.0,0.00210287294776275,0.5245200551707037,0.01393397895245981,0.13775403198025993,1.1556644457307723,1.6126712492835873,0.14956890220478386,3.7058825598178915,1
200.0,0.0021038805668994014,0.5247608045911933,0.013943818038964278,0.13782391999129584,1.1660818809836515,1.6315204783799246,0.13533556954737055,4.481305305537196,1
210.0,0.002104897742404151,0.52500379961516,0.013953708502187495,0.13789417456074812,1.1766307538326002,1.649450399903363,0.12245672415180021,3.421266519990986,1
220.0,0.0021059245421132344,0.5252490678458686,0.013963647859967093,0.13796477805481872,1.187301464171133,1.666505849242739,0.11080345179862804,4.084228312986483,1
230.0,0.0021069610278707136,0.5254966348525424,0.01397363350064769,0.13803571121223354,1.198084896133453,1.6827294745483155,0.1002591272212824,4.156842256328311,1
240.0,0.0021080072573013866,0.5257465242588368,0.0139836631797906,0.13810695809221799,1.2089723942830117,1.6981618439240758,0.09071822945202104,4.296583106490665,1
250.0,0.002109063282093781,0.5259987578608205,0.013993734878222728,0.13817850468114679,1.21995574100537,1.7128415472004432,0.08208527100455443,4.180488101133786,1
