time,sclerostin_bone,sclerostin_sensor,rankl_bone,opg_bone,osteocytes,osteoblasts,osteoclasts,biosensor_signal,detection_event
0.0,0.06977034795118932,0.025000000000000005,0.8375716511101021,2.1319064334337283,1.0,1.0,1.0,5.518169660377614,1
10.0,0.0031573299998555473,0.6914575381653232,0.0645108970853668,0.16954706402749142,1.0052307031603296,1.0484721472450846,0.9048409124790586,8.70273960236007,1
20.0,0.0027914981931734363,0.695498741508282,0.02972176355272547,0.08118294259756492,1.0109089378154257,1.0948229808610601,0.8187339639663438,3.3483180684196503,1
30.0,0.0027909962182768883,0.6958892424972809,0.028185144797327068,0.07722467866591545,1.0170098367314702,1.1389145755000536,0.7408211508911497,9.315413344659685,1
40.0,0.0027925233613550777,0.6962619162045927,0.0281466937692318,0.0770684839623856,1.0235092993541672,1.1808557752729436,0.6703227215143011,7.7250093275507155,1
50.0,0.002794074513286713,0.6966369636536599,0.028176100276185456,0.07708376208631146,1.0303844153639778,1.2207514485311526,0.6065331047542736,8.269396638124169,1
60.0,0.0027956389795678977,0.6970146345771752,0.02820892428527093,0.07710697907014546,1.0376134090914202,1.2587013564860399,0.5488138726991197,7.414989959778534,1
70.0,0.0027972171782146495,0.6973950592731241,0.028242373821905628,0.07713108380783523,1.045175584108017,1.2948003949681244,0.4965873519889569,9.00608746908957,1
80.0,0.0027988091305928024,0.6977783640996804,0.02827614021669426,0.07715532695349929,1.0530512705030004,1.329138831682216,0.44933084182846467,10.57210013069367,1
90.0,0.0028004152838239306,0.6981646636440754,0.028310240375604468,0.07717978392104427,1.0612217747378894,1.3618025319092817,0.4065713834759124,9.917389186947275,1
100.0,0.002802035950539652,0.6985540666976523,0.02834463201471387,0.07720437829430807,1.069669331954169,1.3928731731637911,0.3678810286664492,8.670128824424362,1
110.0,0.002803671567357002,0.6989466740265501,0.02837949591032676,0.07722959835571486,1.0783770605552585,1.4224284496196804,0.3328725485269208,10.98031875153582,1
120.0,0.0028053221595377687,0.6993425840620195,0.02841458451127255,0.07725484370569818,1.087328919071701,1.4505422662585148,0.3011955639011799,9.053604709586239,1
130.0,0.0028069880742762946,0.699741885889001,0.028449950021673505,0.07728027346626255,1.0965096651292594,1.4772849235592265,0.27253304320091964,6.677075432911075,1
140.0,0.0028086695206564877,0.7001446641518633,0.028485594117486725,0.07730591720302941,1.1059048163552974,1.5027232934607404,0.24659812182636975,8.749759594466193,1
150.0,0.0028103667179700353,0.7005509978615422,0.02852147803126213,0.07733170058748891,1.1155006132606649,1.5269209864369349,0.22313123657679615,7.753375662029134,1
160.0,0.0028120798667266578,0.700960960961511,0.028557619613366066,0.07735769183296404,1.1252839839221633,1.5499385104680865,0.20189753029865148,5.46871135595047,1
170.0,0.002813809144904248,0.7013746226290333,0.02859400664875257,0.07738388171923645,1.1352425102396968,1.5718334229261095,0.18268448227794545,8.173377788929658,1
180.0,0.0028155547237499862,0.7017920473663928,0.02863061366038213,0.07741022629995846,1.1453643960483513,1.5926604741124457,0.16529979461396857,8.01341468730202,1
190.0,0.0028173167546078222,0.7022132953700184,0.02866742781223813,0.07743671270547607,1.1556384367384773,1.6124717440096072,0.14956947328832226,8.029802979985694,1
