feature,importance
biosensor_sensitivity,26508
biosensor_dynamic_range_max,24871
biosensor_threshold,24739
biosensor_kd,24350
binding_score,22223
detection_efficiency,22137
pth,11925
rankl_concentration,11656
opg_concentration,11551
estrogen,11437
sclerostin_concentration,10477
sclerostin_std,9988
sclerostin_max,6970
on_level,4550
hill_coefficient,4424
mineral_ion,4266
circuit_type,4251
signal_range,3726
off_level,3701
response_type,3613
noise_preset,3277
scenario,113
