feature,importance
noise_preset,0.9237232
biosensor_dynamic_range_max,0.035502553
off_level,0.0031020069
signal_range,0.0026950168
on_level,0.00267218
hill_coefficient,0.002609495
binding_score,0.002418987
sclerostin_max,0.0023755922
circuit_type,0.002268054
detection_efficiency,0.0022458609
opg_concentration,0.0021155681
sclerostin_std,0.0020555395
pth,0.002023433
biosensor_threshold,0.0019571593
biosensor_sensitivity,0.0019055301
rankl_concentration,0.001773414
biosensor_kd,0.0017603071
estrogen,0.0017279417
sclerostin_concentration,0.0016918158
response_type,0.0016580344
mineral_ion,0.0016105005
scenario,0.000107786174
